,,,,,,,,,,,,,
Spieltag 1,Single Malt & Double Out,,,,,,,,,,,,
Spiel,Typ,Spieler 1,Spieler 2,Gegner,Ergebnis,Win,Lose,Sets +,Sets -,Highscore,Lowscore,Highfinish,Shortgame
Spiel,Typ,Spieler 1,Spieler 2,Gegner,Ergebnis,Win,Lose,Sets +,Sets -,Highscore,Lowscore,Highfinish,Shortgame
1,Doppel,,,,,,,,,,,,
2,Doppel,,,,,,,,,,,,
3,Einzel,,,,,,,,,,,,
4,Einzel,,,,,,,,,,,,
5,Einzel,,,,,,,,,,,,
6,Einzel,,,,,,,,,,,,
7,Einzel,,,,,,,,,,,,
8,Einzel,,,,,,,,,,,,
9,Einzel,,,,,,,,,,,,
10,Einzel,,,,,,,,,,,,
11,Einzel,,,,,,,,,,,,
12,Einzel,,,,,,,,,,,,
13,Einzel,,,,,,,,,,,,
14,Einzel,,,,,,,,,,,,
15,Einzel,,,,,,,,,,,,
16,Einzel,,,,,,,,,,,,
17,Einzel,,,,,,,,,,,,
18,Einzel,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Spieltag 7,,,,,,,,,,,,,
Spiel,Typ,Spieler 1,Spieler 2,Gegner,Ergebnis,Win,Lose,Sets +,Sets -,Highscore,Lowscore,Highfinish,Shortgame
1,Doppel,,,,,,,,,,,,
2,Doppel,,,,,,,,,,,,
3,Einzel,,,,,,,,,,,,
4,Einzel,,,,,,,,,,,,
5,Einzel,,,,,,,,,,,,
6,Einzel,,,,,,,,,,,,
7,Einzel,,,,,,,,,,,,
8,Einzel,,,,,,,,,,,,
9,Einzel,,,,,,,,,,,,
10,Einzel,,,,,,,,,,,,
11,Einzel,,,,,,,,,,,,
12,Einzel,,,,,,,,,,,,
13,Einzel,,,,,,,,,,,,
14,Einzel,,,,,,,,,,,,
15,Einzel,,,,,,,,,,,,
16,Einzel,,,,,,,,,,,,
17,Einzel,,,,,,,,,,,,
18,Einzel,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Spieltag 8,,,,,,,,,,,,,
Spiel,Typ,Spieler 1,Spieler 2,Gegner,Ergebnis,Win,Lose,Sets +,Sets -,Highscore,Lowscore,Highfinish,Shortgame
1,Doppel,,,,,,,,,,,,
2,Doppel,,,,,,,,,,,,
3,Einzel,,,,,,,,,,,,
4,Einzel,,,,,,,,,,,,
5,Einzel,,,,,,,,,,,,
6,Einzel,,,,,,,,,,,,
7,Einzel,,,,,,,,,,,,
8,Einzel,,,,,,,,,,,,
9,Einzel,,,,,,,,,,,,
10,Einzel,,,,,,,,,,,,
11,Einzel,,,,,,,,,,,,
12,Einzel,,,,,,,,,,,,
13,Einzel,,,,,,,,,,,,
14,Einzel,,,,,,,,,,,,
15,Einzel,,,,,,,,,,,,
16,Einzel,,,,,,,,,,,,
17,Einzel,,,,,,,,,,,,
18,Einzel,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Spieltag 9,,,,,,,,,,,,,
Spiel,Typ,Spieler 1,Spieler 2,Gegner,Ergebnis,Win,Lose,Sets +,Sets -,Highscore,Lowscore,Highfinish,Shortgame
1,Doppel,,,,,,,,,,,,
2,Doppel,,,,,,,,,,,,
3,Einzel,,,,,,,,,,,,
4,Einzel,,,,,,,,,,,,
5,Einzel,,,,,,,,,,,,
6,Einzel,,,,,,,,,,,,
7,Einzel,,,,,,,,,,,,
8,Einzel,,,,,,,,,,,,
9,Einzel,,,,,,,,,,,,
10,Einzel,,,,,,,,,,,,
11,Einzel,,,,,,,,,,,,
12,Einzel,,,,,,,,,,,,
13,Einzel,,,,,,,,,,,,
14,Einzel,,,,,,,,,,,,
15,Einzel,,,,,,,,,,,,
16,Einzel,,,,,,,,,,,,
17,Einzel,,,,,,,,,,,,
18,Einzel,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Spieltag 10,,,,,,,,,,,,,
Spiel,Typ,Spieler 1,Spieler 2,Gegner,Ergebnis,Win,Lose,Sets +,Sets -,Highscore,Lowscore,Highfinish,Shortgame
1,Doppel,,,,,,,,,,,,
2,Doppel,,,,,,,,,,,,
3,Einzel,,,,,,,,,,,,
4,Einzel,,,,,,,,,,,,
5,Einzel,,,,,,,,,,,,
6,Einzel,,,,,,,,,,,,
